FactID	Fact_Statement	True/False
3609982	Stars Lund has been QlikTeched QlikTech.	0.0
3385345	Nobel Prize in Literature is Roger Martin du Gard's honour.	1.0
3448104	Anders Fogh Rasmussen's office is Iraq.	0.0
3403156	Canada is Edward Heath's role.	0.0
3805667	Belgrade is Jelena Janković's nascence place.	1.0
3414796	Kelis' spouse is Tom Cruise.	0.0
3417475	Malaysia is Mahathir Mohamad's role.	1.0
3885695	Lincoln, Nebraska is Dick Cheney's nascence place.	1.0
3878297	Errol Flynn's death place is Vancouver.	1.0
3243613	Grayson Allen's team is Memphis Grizzlies	1.0
3879903	Tacoma, Washington is Bing Crosby's nascence place.	1.0
3339005	Nobel Prize in Literature is Jimmy Carter's honour.	0.0
4330489	Warwickshire is Codemasters' innovation place.	1.0
3856636	Stephen King's birth place is Portland, Maine.	1.0
3812706	Burt Lancaster's death place is Los Angeles.	1.0
4391108	Acronis' foundation place is United States.	1.0
4329088	Belleville, Illinois is Siebel Systems' innovation place.	0.0
3392191	Nobel Prize in Literature is John Galsworthy's honour.	1.0
3614099	2012 (film) stars Lucas Grabeel.	0.0
3241038	Darius Bazley's team is Oklahoma City Thunder	1.0
3841802	Enrique O'Donnell, Conde del Abisbal's birth place is Cádiz.	1.0
3862446	PayPal is EBay's last place.	0.0
3821360	Elie Wiesel's birth place is Sighetu Marmației.	1.0
3284801	Ian Mahinmi's team is Washington Wizards	1.0
3828206	Count Basie's death place is Hollywood, Florida.	1.0
3899449	Omaha, Nebraska is Andy Roddick's nascence place.	1.0
3814430	New York City is Richard Rodgers' last place.	1.0
3316968	Nobel Prize in Literature is Derek Walcott's honour.	1.0
3417882	Nicholas Tse's spouse is Cecilia Cheung.	1.0
3389258	Nobel Prize in Literature is Shmuel Yosef Agnon's award.	1.0
3663154	Om Shanti Om stars Shah Rukh Khan.	1.0
3290202	Dallas Mavericks is Carlos Boozer's squad.	0.0
3465536	Tony Rothman is Options (novel)'s author.	0.0
3454223	Pakistan is Benazir Bhutto's role.	1.0
4381768	MontaVista's foundation place is Washington (state).	0.0
3810676	Ascend Communications' subsidiary is Snapfish.	0.0
3848722	Nuremberg is Hermann Göring's death place.	1.0
3433818	Netherlands is Kakuei Tanaka's role.	0.0
3213978	Cam Reddish's team is Atlanta Hawks	1.0
3881058	Ulm is Albert Einstein's nascence place.	1.0
3496532	Camp Rock's office is Joe Jonas.	0.0
3846855	New York City is David Bowie's nascence place.	0.0
3493357	J. M. Coetzee's spouse is Nobel Prize in Literature.	0.0
3813543	Eleftherios Venizelos' birth place is Paris.	0.0
4396222	Critical Path, Inc.'s foundation place is Seattle.	0.0
4303508	Angoss' foundation place is Montreal.	0.0
3346801	Herbert A. Hauptman's award is Nobel Prize in Chemistry.	1.0
3858516	Elliott Kastner's birth place is Harlem.	1.0
3459734	Spain is Nuri as-Said's role.	0.0
3413826	Portland Trail Blazers is Steve Blake's better half.	0.0
3418461	The World Is Round's author is Tony Rothman.	1.0
3379432	Pierre Harmel's award is Belgium.	0.0
3458222	The Urth of the New Sun's author is Cordwainer Smith.	0.0
3449253	Japan is Ryutaro Hashimoto's office.	1.0
3220723	Netherlands is Ruud Lubbers' squad.	0.0
3216513	Jordan Bone's team is Detroit Pistons	1.0
3399851	François Jacob's award is Nobel Prize in Literature.	0.0
3366519	Grazia Deledda's award is Nobel Prize in Physics.	0.0
3413428	Isaac Asimov is So Long, and Thanks for All the Fish's author.	0.0
3217830	Michael Kidd-Gilchrist's team is Charlotte Hornets	1.0
3257194	New York Knicks is Jason Terry's squad.	0.0
3215136	Boston Celtics is Metta World Peace's squad.	0.0
4389834	Seattle is Picnik's innovation place.	1.0
3882344	John Diefenbaker's death place is Ottawa.	1.0
3449364	Kyle Korver's office is Chicago Bulls.	0.0
3816544	Muhammad Ali's birth place is Louisville, Kentucky.	1.0
3657858	Camp Rock stars Demi Lovato.	1.0
3485659	Louis Botha's spouse is South Africa.	0.0
3262641	Miami Heat is Dwight Howard's squad.	0.0
3850160	Geneva is Jorge Luis Borges' last place.	1.0
3846245	Emmylou Harris' birth place is Birmingham, Alabama.	1.0
3619217	Last Action Hero stars Art Carney.	1.0
3616834	The Aristocats stars Hermione Gingold	1.0
3844588	Sharpham is Henry Fielding's birth place.	1.0
4362479	JetBrains' foundation place is Czech Republic.	1.0
3205550	Portland Trail Blazers is Nazr Mohammed's squad.	0.0
3614746	John C. Frémont stars New York City.	0.0
4368220	Microsoft's foundation place is Albuquerque, New Mexico.	1.0
4390604	Palm, Inc.'s foundation place is United States.	1.0
3617517	2012 (film) stars Barbara Hershey.	0.0
3620032	2012 (film) stars Alyson Stoner.	0.0
3214356	Marlon Brando is On the Waterfront's team.	0.0
3804112	Del Mar, California is Desi Arnaz's nascence place.	0.0
3829771	Cambridge is Olivia Newton-John's nascence place.	1.0
3220473	Cleveland Cavaliers is LeBron James' squad.	1.0
4314325	Munich is Codemasters' innovation place.	0.0
3816693	Siena is Italo Calvino's death place.	1.0
3827375	Albert Speer's death place is Mannheim.	0.0
3824435	Albert Speer's death place is London.	1.0
3414812	Brian Aldiss is Non-Stop (novel)'s author.	1.0
3217089	Shane Battier's team is Charlotte Bobcats.	0.0
3419160	Edwin Balmer is The Garden of Rama's generator.	0.0
3404105	Samuel Dalembert's spouse is Sacramento Kings.	0.0
3212717	Gerald Green's team is Boston Celtics.	1.0
3844804	Charlie Chaplin's birth place is Vevey.	0.0
3486351	Saddam Hussein's office is Iraq.	1.0
3473498	Utah Jazz is Al Jefferson's better half.	0.0
3215488	Deron Williams' team is Golden State Warriors.	0.0
3270831	Gerald Green's team is Houston Rockets	1.0
3484196	Where Late the Sweet Birds Sang's author is Kate Wilhelm.	1.0
3395187	Nobel Prize in Literature is John Steinbeck's honour.	1.0
3313570	Nobel Prize in Physics is Shirin Ebadi's honour.	0.0
3819843	Nobel Prize in Literature is Sigrid Undset's subordinate.	0.0
3863191	Birmingham is Ozzy Osbourne's nascence place.	1.0
3318617	Nobel Prize in Literature is Gabriela Mistral's honour.	1.0
3374812	Charles Thomson Rees Wilson's award is Nobel Prize in Literature.	0.0
3410884	José María Aznar's office is Spain.	1.0
3412727	Vernor Vinge is The Postman's generator.	0.0
3320479	Robert Hofstadter's award is Nobel Prize in Physics.	1.0
3813820	Sebastian Koch's death place is Carice van Houten.	0.0
3408466	Howard K. Stern's spouse is Anna Nicole Smith.	1.0
3245078	Los Angeles Lakers is Jason Terry's squad.	0.0
3801427	Corixa is Hewlett-Packard's subordinate.	0.0
3854160	Aga Khan III's death place is Versoix.	1.0
4376110	Day Software's foundation place is Basel.	1.0
3620394	Love Actually stars Wilfrid Brambell.	0.0
3417672	Heidi Klum's spouse is Hannah Waterman.	0.0
3406412	Elsa Pataky's spouse is Adrien Brody.	1.0
3454350	Netherlands is George Papandreou's role.	0.0
3894220	Elliott Kastner's birth place is London.	0.0
3800728	Beverly Hills, California is Harold Lloyd's last place.	1.0
3249383	Dewan Hernandez's team is Toronto Raptors	1.0
3806900	Robert Menzies' death place is Melbourne.	1.0
3411054	Craig Conway (actor)'s office is Jill Halfpenny.	0.0
3320347	Imre Kertész's award is Nobel Prize in Physics.	0.0
3810544	Naples, Florida is Donna Summer's death place.	1.0
3418407	Osachi Hamaguchi's office is Japan.	1.0
3835575	Ernest Rutherford's birth place is Cambridge.	0.0
3836931	Eleftherios Venizelos, Crete is Eleftherios Venizelos' nascence place.	1.0
3819797	Archduke Charles, Duke of Teschen's death place is Florence.	0.0
3495517	Jacques Chirac's office is Russia.	0.0
4386512	Intec Telecom Systems' foundation place is Woking.	1.0
3895277	Ferdinand I, Holy Roman Emperor's birth place is Vienna.	0.0
4313899	SevOne's foundation place is United States.	0.0
3318131	Nobel Prize in Literature is James Franck's honour.	0.0
3670070	A Hard Day's Night (film) stars John Junkin	1.0
3874945	Ayrton Senna's birth place is Bologna.	0.0
3814794	Hannibal's death place is Gebze.	1.0
3885279	Alexis Korner's birth place is London.	0.0
3439988	Again, Dangerous Visions' author is Kurt Vonnegut.	0.0
3239911	Shaun Livingston's team is Boston Celtics.	0.0
3860225	Cincinnati is William Howard Taft's nascence place.	1.0
3421350	Gordon Brown's office is United Kingdom.	1.0
3625278	Kill Bill stars Uma Thurman.	1.0
3316314	Giosuè Carducci's award is Nobel Prize in Literature.	1.0
3355072	Nobel Prize in Literature is Maurice Maeterlinck's honour.	1.0
3611275	Stars Jason Mewes has been clerked Clerks.	1.0
3871150	Isaac Bashevis Singer's death place is Surfside, Florida.	1.0
3378506	Charles Thomson Rees Wilson's award is Nobel Prize in Literature.	0.0
3478149	The Collected Short Fiction of C. J. Cherryh's author is John Thomas Sladek.	0.0
3818880	Tacoma, Washington is Bing Crosby's nascence place.	1.0
4333472	Seattle is Team and Concepts' innovation place.	0.0
3612116	Clerks stars Gordon Liu.	0.0
3820723	Croatia is Stjepan Mesić's nascence place.	0.0
3857508	Makati is Corazon Aquino's last place.	1.0
3839592	Brian Wilson's birth place is Inglewood, California.	1.0
3847321	Ira Gershwin's death place is Beverly Hills, California.	1.0
3427755	Tunku Abdul Rahman's office is Malaysia.	1.0
3418031	Gentry Lee is The Garden of Rama's generator.	1.0
3616223	Camp Rock stars Joe Jonas.	1.0
3419469	Fritz Leiber is Contact (novel)'s author.	0.0
3486486	Kalevi Sorsa's office is Israel.	0.0
3378680	Juan Ramón Jiménez's award is Nobel Prize in Physics.	0.0
3619203	Edward Scissorhands stars Ashley Tisdale.	0.0
4303953	Albuquerque, New Mexico is LogiSense's innovation place.	0.0
3638988	Ed Wood (film) stars Jeffrey Jones.	1.0
3454996	Egypt is Rolandas Paksas' role.	0.0
3459313	Edwin Abbott Abbott is Neuromancer's generator.	0.0
3633211	The Aristocats stars Will Ferrell	0.0
3888348	Brno is Jana Novotná's nascence place.	1.0
3364825	Nobel Prize in Literature is Gerhart Hauptmann's honour.	1.0
3686167	A Hard Day's Night (film) stars The Beatles.	1.0
3414698	Charlie Sheen's spouse is Gerard McCarthy.	0.0
3414777	Japan is Saddam Hussein's role.	0.0
3313868	Nobel Prize in Physics is Eugenio Montale's honour.	0.0
3852021	Kabul is Humayun's nascence place.	1.0
4369111	Redxpress' foundation place is Pittsburgh.	0.0
3804340	Henry Fielding's death place is Lisbon.	1.0
3411181	Egypt is Gamal Abdel Nasser's role.	1.0
3414689	Beverly Hills, California is Harold Lloyd's better half.	0.0
3814323	Janet Jackson's birth place is Gary, Indiana.	1.0
3811618	Isaac Bashevis Singer's birth place is Surfside, Florida.	0.0
3422308	Édith Cresson's office is France.	1.0
3821565	Abraham Lincoln's birth place is Hodgenville, Kentucky.	1.0
4379927	Montreal is Audiokinetic's innovation place.	1.0
3829525	James Monroe's death place is New York City.	1.0
3807612	Cole Porter's birth place is Peru, Indiana.	1.0
3440325	Canada is Jean Chrétien's role.	1.0
3310180	Svante Arrhenius' award is Nobel Prize in Literature.	0.0
3817075	Aurel Stein's birth place is Budapest.	1.0
3430570	The Last Book in the Universe's author is Rodman Philbrick.	1.0
3415550	A Connecticut Yankee in King Arthur's Court's author is Mark Twain.	1.0
3419694	Martti Miettunen's office is Canada.	0.0
3418786	Zine El Abidine Ben Ali's office is Tunisia.	1.0
3812265	Herbert Hoover's death place is New York City.	1.0
3497178	Kristine Hermosa is Kevin Federline's better half.	0.0
3414577	Level 7's author is Roger Zelazny.	0.0
3318625	Arno Allan Penzias' award is Nobel Prize in Physics.	1.0
3326237	Maria das Neves' award is São Tomé and Príncipe.	0.0
3420954	California is MokaFive's role.	0.0
3204794	Immodest Proposals' team is William Tenn.	0.0
3834895	Out of the Silent Planet's death place is C. S. Lewis.	0.0
3302152	Jaroslav Seifert's award is Nobel Prize in Physics.	0.0
4375480	United States is Futuremark's innovation place.	0.0
3293053	Detroit Pistons is Jamal Crawford's squad.	0.0
3616492	Austin Powers: The Spy Who Shagged Me stars John Junkin.	0.0
4396639	Day Software's foundation place is United States.	0.0
3809393	JetBrains' death place is Czech Republic.	0.0
3811634	Jerry Goldsmith's death place is Beverly Hills, California.	1.0
3421433	Beyond Apollo's author is Barry N. Malzberg.	1.0
3871504	Kabul is Aurel Stein's last place.	1.0
3660361	A Hard Day's Night (film) stars Paul McCartney	1.0
3657753	Godzilla (1998 film) stars Rick Moranis.	0.0
4311964	Intuit Canada's foundation place is Edmonton.	1.0
3420266	Elisabeth Domitien's office is Central African Republic.	1.0
3855888	Justin Timberlake's birth place is Memphis, Tennessee.	1.0
3617557	Godzilla (1998 film) stars Harry Shearer.	1.0
4315164	Serena Software's foundation place is Alcalá de Henares.	0.0
3851499	Cadence Design Systems' subsidiary is Billpoint.	0.0
4341786	Redxpress' foundation place is Portsmouth.	1.0
3433284	Joe Haldeman is The Forever War's generator.	1.0
3210287	Jacob Evans's team is Golden State Warriors	1.0
3808882	BlueLithium is Netscape's subordinate.	0.0
4320274	Palo Alto, California is Hewlett-Packard's innovation place.	1.0
4339077	Montreal is Strategy First's innovation place.	1.0
3614287	Mad Max stars Eva Gabor.	0.0
4303330	Bloombase Technologies' foundation place is Shenzhen.	1.0
3240768	DeMarcus Cousins's team is Los Angeles Lakers	1.0
4384330	Mountain View, California is Financial Navigator's foundation place.	1.0
3332830	California is Oracle Corporation's honour.	0.0
3470395	The Integral Trees' author is Larry Niven.	1.0
3851166	Santiago de Cuba is Desi Arnaz's nascence place.	1.0
3278276	Kwame Brown's team is Dallas Mavericks.	0.0
3401631	Golda Meir's office is Israel.	1.0
3257109	San Antonio Spurs is Monta Ellis' squad.	0.0
3409874	Finland is Aimo Cajander's role.	1.0
3437611	Seal (musician) is Heidi Klum's better half.	1.0
3358281	Heinrich Böll's award is Nobel Prize in Literature.	1.0
3410605	John Wyndham is The Boat of a Million Years' generator.	0.0
3314696	Nobel Prize in Physics is Shirin Ebadi's honour.	0.0
3410071	Netherlands is Piet de Jong's role.	1.0
3643040	Austin Powers: The Spy Who Shagged Me stars Will Ferrell.	1.0
3286124	Montrezl Harrell's team is LA Clippers	1.0
3327724	François Jacob's award is Nobel Prize in Literature.	0.0
3419756	Joaquim Rafael Branco's office is Iceland.	0.0
3222198	Nene's team is Houston Rockets	1.0
3415483	Robert Bond's office is Dominion of Newfoundland.	1.0
3818760	London is Charlie Chaplin's last place.	0.0
3873964	Bombay Presidency is Aga Khan III's last place.	0.0
3212902	Jonathan Isaac's team is Orlando Magic	1.0
3832341	ADC Telecommunications' subsidiary is Pacific Hydro.	0.0
3256256	Draymond Green's team is Golden State Warriors	1.0
3492997	Whit's author is Thomas M. Disch.	0.0
3816310	Noam Chomsky's death place is Philadelphia.	0.0
3419568	Jomo Kenyatta's office is Yugoslavia.	0.0
3849990	Santa Monica, California is Miles Davis' last place.	1.0
3869899	Vevey is Henryk Sienkiewicz's last place.	1.0
3817606	Vienna is Archduke Charles, Duke of Teschen's nascence place.	0.0
3819616	Liverpool is John Lennon's nascence place.	1.0
3859462	London is Elliott Kastner's last place.	1.0
4336902	Danger (company)'s foundation place is Madrid.	0.0
3387586	Joseph Brodsky's award is Nobel Prize in Physics.	0.0
3874495	Elie Wiesel's birth place is New York City.	0.0
4315118	Art Technology Group's foundation place is Berkeley, California.	0.0
3477685	Castle (novel)'s author is Garth Nix.	1.0
3214012	Israel is Menachem Begin's team.	0.0
3284273	Eric Paschall's team is Golden State Warriors	1.0
3858806	New York City is Elie Wiesel's last place.	1.0
3845582	Rutherford B. Hayes' death place is Fremont, Ohio.	1.0
3820909	Benjamin Harrison's death place is Indianapolis.	1.0
4330588	Jay-Z's foundation place is New York City.	0.0
4395836	Oxford is Intergraph's innovation place.	0.0
3812460	Elizabeth Taylor's death place is Los Angeles.	1.0
3652120	Mad Max stars Martine McCutcheon.	0.0
3417441	Travis Barker is Craig Conway (actor)'s spouse.	0.0
4351652	Krstarica's foundation place is Belgrade.	1.0
3675965	Kana Software stars California.	0.0
3827827	Aldershot is Claude Auchinleck's last place.	0.0
3810943	George W. Bush's birth place is New Haven, Connecticut.	1.0
3428925	Canada is Pierre Trudeau's role.	1.0
3818792	Moscow is Babrak Karmal's last place.	1.0
4333956	Big Fish Games' foundation place is Basel.	0.0
3615660	Godzilla (1998 film) stars Kevin Dunn.	1.0
3820621	Kylie Minogue's birth place is Melbourne.	1.0
3819159	London is David Bowie's nascence place.	1.0
3836794	Andy Roddick's death place is Omaha, Nebraska.	0.0
3416444	Ali Landry's spouse is Alejandro Gómez Monteverde.	1.0
3470715	Japan is Paul-Henri Spaak's role.	0.0
3418201	Naji Shawkat's office is Iraq.	1.0
3313706	André Gide's award is Nobel Prize in Literature.	1.0
3439658	Paul van Zeeland's office is Belgium.	1.0
3213073	Markelle Fultz's team is Orlando Magic	1.0
4312487	SAP AG's foundation place is Mannheim.	1.0
3665527	2012 (film) stars Art Carney.	0.0
3377524	Nobel Prize in Literature is Andrew Huxley's honour.	0.0
3666148	The Aristocats stars Phil Harris.	1.0
3268494	Bruce Brown's team is Detroit Pistons	1.0
4313791	Santa Monica, California is Pandemic Studios' innovation place.	1.0
3412384	John Thomas Sladek is The Forever War's generator.	0.0
3857969	Copenhagen is Christian I of Denmark's nascence place.	0.0
3428396	The Wanderer (Fritz Leiber novel)'s author is Marge Piercy.	0.0
3814637	Comte de Lautréamont's birth place is Paris.	0.0
3465758	The Poison Belt's author is Arthur Conan Doyle.	1.0
3824242	John, King of England's birth place is Oxford.	1.0
3281322	Cameron Johnson's team is Phoenix Suns	1.0
3415673	Kalevi Sorsa's office is East Timor.	0.0
3807642	Albert Einstein's birth place is Princeton, New Jersey.	0.0
3812234	Sighetu Marmației is Elie Wiesel's last place.	0.0
3290380	Orlando Magic is Chris Bosh's squad.	0.0
3495857	Tori Spelling's spouse is Kris Humphries.	0.0
3419665	Belgium is Pierre Harmel's role.	1.0
3436743	Iraq is Josip Broz Tito's role.	0.0
3485177	Hannah Waterman is Ricky Groves' better half.	1.0
3443937	Heath Ledger's spouse is Michelle Williams (actress).	1.0
3869395	New York City is Arthur Ashe's last place.	1.0
3830011	Kofi Annan's birth place is Kumasi.	1.0
3425053	James Yap is Kris Aquino's better half.	1.0
3333389	George Minot's award is Nobel Prize in Physics.	0.0
3461481	Pau Gasol's author is Memphis Grizzlies.	0.0
3238680	Minnesota Timberwolves is Raymond Felton's squad.	0.0
3814095	Valladolid is Christopher Columbus' last place.	1.0
3471677	Maria das Neves' office is São Tomé and Príncipe.	1.0
3428067	Michelle Williams (actress) is Craig Conway (actor)'s spouse.	0.0
3307475	Thomas Mann's award is Nobel Prize in Literature.	1.0
3320174	Ahmed Zewail's award is Nobel Prize in Literature.	0.0
3283307	Kyle Korver's team is Golden State Warriors.	0.0
3812225	Fred Zinnemann's birth place is London.	0.0
3643255	Ghostbusters II stars Rick Moranis.	1.0
3899374	Frank Zappa's birth place is Baltimore.	1.0
3826154	Leoncin is Isaac Bashevis Singer's nascence place.	1.0
3410891	Iain Banks is Whit's generator.	1.0
3251076	Nobel Prize in Physics is John Strutt, 3rd Baron Rayleigh's squad.	0.0
3214221	JaVale McGee's team is Los Angeles Lakers	1.0
3853510	Duluth, Minnesota is Bob Dylan's nascence place.	1.0
3433021	The Breath of Suspension's author is Alexander Jablokov.	1.0
3214569	Martell Webster's team is Charlotte Bobcats.	0.0
3419714	Canada is Mari Alkatiri's role.	0.0
3620116	Last Action Hero stars Anthony Quinn	1.0
3612572	Clerks stars Kevin Smith.	1.0
3376072	Wisława Szymborska's award is Nobel Prize in Literature.	1.0
3325169	Nobel Prize in Physiology or Medicine is George Minot's honour.	1.0
3346598	Niels Bohr's award is Nobel Prize in Literature.	0.0
3422271	Ricky Groves' spouse is Grettell Valdéz.	0.0
3682722	Kill Bill stars Joe Jonas.	0.0
3810871	Harry S. Truman's death place is Kansas City, Missouri.	1.0
3445694	Niles, Ohio is William McKinley's role.	0.0
3631502	Predator (film) stars Amanda Peet.	0.0
3412089	Theodore Bikel is Amy Spanger's better half.	0.0
3886642	Isabel II of Spain's birth place is Madrid.	1.0
3436963	France is Georges Pompidou's role.	1.0
3844075	Queluz, Portugal is Carlota Joaquina of Spain's nascence place.	0.0
3314695	Heike Kamerlingh Onnes' award is Nobel Prize in Literature.	0.0
4346351	Endicott, New York is IBM's innovation place.	1.0
3429957	Iceland is Ásgeir Ásgeirsson's role.	1.0
4321254	Applied Minds' foundation place is Toronto.	0.0
3448350	Robert Silverberg is A Time of Changes' generator.	1.0
3412428	Summon the Thunder's author is Poul Anderson.	0.0
3614858	The Right Stuff (film) stars Harry Shearer.	1.0
3346543	Gustaf Dalén's award is Nobel Prize in Literature.	0.0
3658409	High School Musical 2 stars Jeff Goldblum.	0.0
3419347	Jack White (musician)'s spouse is Emmy Rossum.	0.0
3802038	William McKinley's birth place is Niles, Ohio.	1.0
3811047	Christopher Columbus' birth place is Valladolid.	0.0
3411608	Susan Lanier's spouse is Delaney Bramlett.	1.0
3426772	Strange Case of Dr Jekyll and Mr Hyde's author is Douglas Adams.	0.0
3670534	Ed Wood (film) stars Tina Fey.	0.0
3813560	Robert Christgau's birth place is New York City.	1.0
3304534	Nobel Prize in Literature is Andrew Huxley's honour.	0.0
4398034	Softdisk's foundation place is California.	0.0
3457895	Orbital Resonance (novel)'s author is John Barnes (author).	1.0
3813592	Sunopsis is Oracle Corporation's subordinate.	1.0
3813051	Roswell, Georgia is Curtis Mayfield's last place.	1.0
3820135	Louis IX of France's death place is Tunis.	1.0
3811928	Lithuania Governorate is Adam Mickiewicz's nascence place.	1.0
3296557	Dwight Howard's team is Los Angeles Lakers	1.0
3853729	Motihari is George Orwell's nascence place.	1.0
3883768	Santa Barbara, California is Robert Mitchum's last place.	1.0
3310343	Riddley Walker's award is Russell Hoban.	0.0
3819192	Jimi Hendrix's birth place is Seattle.	1.0
3859552	Allan Riverstone McCulloch's death place is Sydney.	0.0
3810962	Los Angeles is Hal Roach's last place.	1.0
3830854	London is Albert Speer's nascence place.	0.0
3820514	Alfonso XIII of Spain's birth place is Madrid.	1.0
3436336	Saul Williams' spouse is Persia White.	1.0
3476200	Jules Verne is The Begum's Fortune's author.	1.0
3318117	W. B. Yeats' award is Nobel Prize in Literature.	1.0
4381032	United States is Information Builders' innovation place.	1.0
3862445	EBay's subsidiary is PayPal.	1.0
3410172	Maria das Neves' office is Israel.	0.0
3350961	Peru, Indiana is Cole Porter's honour.	0.0
3441473	Tameka Foster's spouse is Hugh Grant.	0.0
3682299	The Right Stuff (film) stars Demi Lovato	0.0
3823591	Eddie Cochran's birth place is Bath, Somerset.	0.0
3343269	Nobel Prize in Physics is Albert Einstein's honour.	1.0
3241167	Mike Miller (basketball player)'s team is Chicago Bulls.	0.0
3485064	Haylie Duff is Tameka Foster's better half.	0.0
3636386	Ed Wood (film) stars Lisa Marie (actress).	1.0
3837411	George Meade's death place is Philadelphia.	1.0
3824208	John James Audubon's birth place is New York City.	0.0
3316389	Nobel Peace Prize is International Atomic Energy Agency's honour.	1.0
3816277	Elizabethton, Tennessee is Andrew Johnson's last place.	1.0
3405931	Persia White is Saul Williams' better half.	0.0
3867289	Charlie Chaplin's death place is Vevey.	1.0
3860307	Claude Auchinleck's birth place is Marrakesh.	0.0
3419335	The Postman's author is David Brin.	1.0
3496434	Finland is Golda Meir's role.	0.0
3681647	Ed Wood (film) stars Ernie Hudson.	0.0
3817236	Quincy, Massachusetts is John Adams' last place.	1.0
3682513	Godzilla (1998 film) stars Matthew Broderick.	1.0
3389911	Wangari Maathai's award is Nobel Prize in Literature.	0.0
3316845	J. J. Thomson's award is Nobel Prize in Physics.	1.0
3810435	East Orange, New Jersey is James Blish's last place.	0.0
3806042	Katie Holmes' subsidiary is Tom Cruise.	0.0
3468517	France is Jelle Zijlstra's role.	0.0
3406247	The Throne of Saturn (short story collection)'s author is Karel Čapek.	0.0
3419156	Richard Li is Isabella Leong's better half.	1.0
3829867	A. E. van Vogt's birth place is Hollywood.	0.0
3424945	Tamara Brooks' spouse is Theodore Bikel.	1.0
3814237	Christian V of Denmark's death place is Copenhagen.	1.0
3453016	Shogo's spouse is Eriko Imai.	1.0
3845301	Robert F. Kennedy's death place is Los Angeles.	1.0
3325386	Nobel Prize in Literature is Sigrid Undset's honour.	1.0
3469365	Saddam Hussein's office is Netherlands.	0.0
3814271	Bologna is Ayrton Senna's last place.	1.0
3238810	Rasheed Wallace's team is Los Angeles Clippers.	0.0
4313151	Munich is Nemetschek's innovation place.	1.0
3448507	Alexandre Pato's spouse is Sthefany Brito.	1.0
3476830	Out of the Silent Planet's author is C. S. Lewis.	1.0
3858293	Adobe Systems' subsidiary is Macromedia.	1.0
3220315	Naz Mitrou-Long's team is Indiana Pacers	1.0
4310519	Digital Research's foundation place is Pacific Grove, California.	1.0
3220634	Andre Roberson's team is Oklahoma City Thunder	1.0
3837537	The Big U's birth place is Neal Stephenson.	0.0
3227333	Philadelphia 76ers is LeBron James' squad.	0.0
3827697	Walt Disney's death place is Burbank, California.	1.0
3420628	Bethany Joy Lenz is Marc Anthony's better half.	0.0
3412815	Central African Republic is Jean Chrétien's role.	0.0
3812988	Dr. Dre's birth place is Compton, California.	1.0
4365919	Mountain View, California is MetaComCo's innovation place.	0.0
3824495	Montpellier is Enrique O'Donnell, Conde del Abisbal's nascence place.	0.0
3318640	Frédéric Passy's award is Nobel Prize in Literature.	0.0
3812413	François Mauriac's death place is Nobel Prize in Literature.	0.0
3643468	Om Shanti Om stars Anthony Quinn.	0.0
3435121	Kris Humphries is Kim Kardashian's better half.	1.0
3885118	Stephen Harper's birth place is Toronto.	1.0
3214422	Mike Miller (basketball player)'s team is Dallas Mavericks.	0.0
3466202	Corixa is GlaxoSmithKline's generator.	0.0
